,Unnamed: 0,payment_date,volume,is_workday,lag_30,lag_61,lag_91,ewm_7,ewm_30,ewm_91
253,253,2025-10-12,461.0,0,408.0,462.0,417.0,531.9397528289005,490.4010004572771,496.8885797205386
254,254,2025-10-13,220.0,1,707.0,555.0,114.0,453.9548146216754,472.95577462132377,490.8692627700921
255,255,2025-10-14,283.0,1,284.0,126.0,806.0,411.21611096625657,460.70056335543194,486.350365753351
256,256,2025-10-15,484.0,1,198.0,734.0,921.0,429.4120832246924,462.2037528163719,486.2992708456695
257,257,2025-10-16,572.0,1,0.0,994.0,529.0,465.0590624185193,469.2873816669285,488.1623301751115
258,258,2025-10-17,454.0,1,689.0,689.0,0.0,462.2942968138895,468.3010989787396,487.41967082347867
259,259,2025-10-18,482.0,0,167.0,848.0,377.0,467.2207226104171,469.18489904462746,487.3018518925335
260,260,2025-10-19,512.0,0,766.0,966.0,800.0,478.4155419578128,471.9471636223934,487.8387681557393
261,261,2025-10-20,719.0,1,435.0,358.0,557.0,538.5616564683596,487.8860562919164,492.8640123262667
262,262,2025-10-21,184.0,1,797.0,402.0,755.0,449.9212423512697,468.2805042730831,486.14957727569566
263,263,2025-10-22,0.0,1,284.0,830.0,761.0,337.4409317634523,438.06885883611005,475.5811082044849
264,264,2025-10-23,244.0,1,397.0,0.0,632.0,314.0806988225892,425.54828729829654,470.54673628699607
265,265,2025-10-24,424.0,1,248.0,426.0,422.0,341.5605241169419,425.44839779518065,469.5348507155396
266,266,2025-10-25,798.0,0,429.0,363.0,715.0,455.67039308770643,449.4839850342013,476.6753974391148
267,267,2025-10-26,575.0,0,307.0,393.0,916.0,485.5027948157798,457.58179245134966,478.81288879913404
268,268,2025-10-27,641.0,1,305.0,424.0,224.0,524.3770961118348,469.41522519642393,482.33869556437025
269,269,2025-10-28,401.0,1,0.0,552.0,760.0,493.5328220838761,465.0013396998805,480.57046305210133
270,270,2025-10-29,661.0,1,621.0,813.0,0.0,535.3996165629071,477.6464145579527,484.49284429009913
271,271,2025-10-30,123.0,1,823.0,507.0,939.0,432.29971242218033,454.76600071550416,476.6343041968361
272,272,2025-10-31,840.0,1,465.0,889.0,428.0,534.2247843166352,479.6198071209555,484.5335584534266
273,273,2025-11-01,850.0,0,666.0,445.0,217.0,613.1685882374765,503.51530343573256,492.4784810957434
274,274,2025-11-02,116.0,0,753.0,177.0,457.0,488.87644117810737,478.5143161172982,484.29416628931426
275,275,2025-11-03,0.0,1,616.0,303.0,573.0,366.6573308835805,447.6424247548919,473.7660322395466
276,276,2025-11-04,383.0,1,102.0,0.0,331.0,370.7429981626854,443.4719457384473,471.7928576256434
277,277,2025-11-05,984.0,1,694.0,146.0,450.0,524.0572486220141,478.34472343274103,482.92779550334683
278,278,2025-11-06,242.0,1,967.0,724.0,743.0,453.5429364665106,463.096676759661,477.69023473153493
279,279,2025-11-07,277.0,1,748.0,182.0,533.0,409.40720234988294,451.0904395493603,473.327403541719
280,280,2025-11-08,393.0,0,208.0,214.0,735.0,405.3054017624122,447.34266925585325,471.5811556386381
281,281,2025-11-09,775.0,0,0.0,263.0,943.0,497.72905132180915,468.48185188450793,478.17721747258076
282,282,2025-11-10,239.0,1,987.0,355.0,0.0,433.0467884913569,453.67657111776555,472.977712744916
